,ID,A112000,A144000,A202000,A373000,내점일수,구매주기,주말방문비율,주구매요일,주구매시간대,일별평균구매건수,거래개월수,방문지점수,주구매지점,브랜드코드_nunique,중분류_nunique,주구매_중분류,대분류_nunique,주구매_대분류,가정용품구매비율,아동용품구매비율,공산품_생식품_구매비율,총구매액,구매건수,평균구매액,최대구매액,환불금액,환불건수,구매금액표준편차,구매금액왜도,구매금액첨도,최다브랜드코드,최다브랜드금액
0,train_0,1242800.0,2958400.0,0.0,0.0,11,23,0.25,3,12,1.8181818181818181,7,2,A144000,13,11,골프웨어,9,남성정장스포츠,0.2,0.1,0.05,6718200,20,395188.23529411765,1236000,-2517000,3,403660.24525947706,-0.6564657085658889,1.3832558557875645,5405,1430000
1,train_1,4172100.0,50400.0,0.0,820525.0,21,16,0.023809523809523808,3,18,2.0,11,3,A112000,26,24,영캐주얼,12,영플라자,0.0,0.38095238095238093,0.14285714285714285,5043025,42,120072.02380952382,698000,0,0,126592.62614376492,2.6518209119291436,9.77108341013797,5304,698000
2,train_2,0.0,2070000.0,0.0,20065386.0,56,6,0.21052631578947367,0,15,2.0357142857142856,12,2,A373000,58,35,아웃도어,14,명품잡화,0.02631578947368421,0.15789473684210525,0.05263157894736842,23207886,114,216896.13084112148,2770000,-1072500,7,406609.26593225077,4.375303676205834,22.850582577602253,5728,2770000
3,train_3,2222800.0,28663962.0,0.0,4708000.0,92,3,0.1895734597156398,3,17,2.2934782608695654,12,3,A144000,99,60,수입종합화장품,16,케주얼_구두_아동,0.03317535545023697,0.3127962085308057,0.02843601895734597,38462562,211,195241.43147208123,1492000,-2867800,14,236976.86090700582,1.7946706395627332,6.928180319441205,5679,2558000
4,train_4,0.0,2799803.0,0.0,1189063.0,27,11,0.25806451612903225,4,16,2.2962962962962963,10,2,A144000,23,24,로얄부틱2F,8,명품잡화,0.0,0.12903225806451613,0.27419354838709675,10943266,62,223331.95918367346,1204000,-6954400,13,308503.9449145369,-0.26018930330600437,1.644544606132254,6368,1004000
5,train_5,0.0,9296455.0,0.0,751000.0,69,4,0.2872340425531915,6,15,1.3623188405797102,12,2,A144000,33,28,수입종합화장품,9,잡화파트,0.010638297872340425,0.11702127659574468,0.19148936170212766,12171455,94,139901.7816091954,1200000,-2124000,7,191785.82958259538,0.573649103542615,12.84302429317418,5240,1629000
6,train_6,2668600.0,116779.0,0.0,0.0,6,52,0.36363636363636365,4,17,1.8333333333333333,6,2,A112000,9,8,용기보증,6,여성정장,0.0,0.09090909090909091,0.2727272727272727,2785379,11,253216.27272727274,953200,0,0,349657.0755017238,1.6926012551545757,1.392012795630393,5930,953200
7,train_7,0.0,736798.0,1327727.0,469400.0,18,18,0.09803921568627451,4,17,2.8333333333333335,10,3,A202000,32,27,용기보증,12,가정용품,0.29411764705882354,0.13725490196078433,0.27450980392156865,4631925,51,96498.4375,1020000,-2098000,3,161093.25913072127,-1.3775187988400943,11.85738361811762,5100,546225
8,train_8,6615028.0,0.0,0.0,0.0,25,13,0.1016949152542373,2,16,2.36,12,1,A112000,37,33,영캐주얼,11,영플라자,0.01694915254237288,0.5254237288135594,0.1694915254237288,6878228,59,120670.66666666667,510000,-263200,2,119208.45549188992,1.21661415163624,1.6065569026607167,5302,735000
9,train_9,881000.0,0.0,0.0,0.0,12,16,0.13333333333333333,4,19,1.25,6,1,A112000,10,9,수입종합화장품,5,패션잡화,0.0,0.2,0.06666666666666667,881000,15,58733.333333333336,148000,0,0,41856.94457941011,0.9942360223756924,0.13497177276125516,5111,463000
10,train_10,0.0,10006771.0,1228099.0,0.0,44,8,0.022388059701492536,4,13,3.0454545454545454,12,2,A144000,26,29,용기보증,10,공산품파트,0.0,0.03731343283582089,0.7014925373134329,11427620,134,87233.74045801527,907000,-192750,3,142331.01050544588,4.154573161648248,19.8931710627485,5100,4938370
11,train_11,628700.0,0.0,0.0,0.0,7,38,0.15384615384615385,3,14,1.8571428571428572,5,1,A112000,10,9,욕실용품,6,가정용품,0.3076923076923077,0.15384615384615385,0.3076923076923077,628700,13,48361.53846153846,175000,0,0,43884.85954672633,2.176579259425156,5.9105913299297175,5882,175000
12,train_12,3368050.0,0.0,0.0,0.0,20,16,0.13157894736842105,4,18,1.9,10,1,A112000,22,14,수입종합화장품,6,남성의류,0.15789473684210525,0.21052631578947367,0.0,5166500,38,172216.66666666666,1309000,-1798450,8,254039.7875887966,1.991130679140172,8.793986787551045,5619,1841000
13,train_13,0.0,4892745.0,0.0,0.0,22,15,0.045454545454545456,1,11,2.0,9,1,A144000,17,16,용기보증,7,케주얼_구두_아동,0.0,0.38636363636363635,0.4090909090909091,5003945,44,119141.54761904762,1304000,-111200,2,212309.9771310235,4.638666463353104,24.843294945791133,5243,1304000
14,train_14,0.0,92000.0,0.0,0.0,1,0,0.0,3,13,1.0,1,1,A144000,1,1,수입종합화장품,1,잡화파트,0.0,0.0,0.0,92000,1,92000.0,92000,0,0,,,,5116,92000
15,train_15,0.0,119400.0,0.0,0.0,4,22,0.0,2,13,2.0,2,1,A144000,5,6,냉장식품,4,공산품파트,0.125,0.375,0.375,148400,8,21200.0,71000,-29000,1,23628.584384173337,0.7808857250150054,2.5465565412905544,5217,71000
16,train_16,0.0,0.0,712170.0,268000.0,9,25,0.0,4,18,1.5555555555555556,6,2,A202000,13,11,유아복,9,아동,0.0,0.42857142857142855,0.0,980170,14,70012.14285714286,249000,0,0,60660.58334683259,2.2675718749708307,5.6937956204395705,5725,249000
17,train_17,615700.0,0.0,0.0,0.0,13,22,0.04,1,14,1.9230769230769231,8,1,A112000,12,8,스포츠캐주얼,4,영플라자,0.0,0.56,0.0,970500,25,51078.94736842105,132000,-354800,6,31469.00730961547,-0.7805607480702194,1.1128604013083478,5346,186000
18,train_18,1998990.0,448000.0,0.0,796600.0,25,13,0.29310344827586204,4,11,2.32,11,3,A112000,38,25,골프웨어,14,아동문화,0.017241379310344827,0.3793103448275862,0.034482758620689655,4290590,58,84129.2156862745,498000,-1047000,7,111983.23075966575,0.2109315862117755,6.263118253754238,6122,448000
19,train_19,245000.0,0.0,368300.0,195000.0,7,28,0.2727272727272727,4,15,1.5714285714285714,6,3,A202000,9,10,아동복,8,공산품,0.0,0.2727272727272727,0.2727272727272727,808300,11,73481.81818181818,245000,0,0,68569.10117803526,1.6742443007822827,3.4297165713541977,5116,245000
20,train_20,565400.0,0.0,0.0,0.0,3,97,0.25,4,13,1.3333333333333333,2,1,A112000,4,4,수입종합화장품,4,가정용품,0.25,0.25,0.0,565400,4,141350.0,252300,0,0,97674.3057308318,0.09191536428230739,-2.803595110342501,5150,252300
21,train_21,0.0,112600.0,1350200.0,62000.0,13,14,0.3,3,13,1.5384615384615385,7,3,A202000,11,9,영캐쥬얼,7,영라이브,0.0,0.35,0.0,1980600,20,123787.5,315000,-455800,4,79160.34255442135,-0.3079634616383504,0.009344237106795994,5357,315000
22,train_22,0.0,2751000.0,0.0,1007000.0,8,27,0.26666666666666666,2,18,1.875,6,2,A144000,8,8,캐릭터,4,잡화파트,0.0,0.13333333333333333,0.0,3918000,15,279857.14285714284,1210000,-160000,1,326347.3508496636,1.888528898403345,4.257186847488552,5381,1850000
23,train_23,641200.0,0.0,86600.0,543600.0,16,21,0.21052631578947367,4,14,1.1875,10,3,A112000,13,9,영캐주얼,9,패션잡화,0.0,0.2631578947368421,0.10526315789473684,1416400,19,78688.88888888889,420000,-145000,1,99344.17824731345,1.6819035069013772,6.066219103297753,5343,420000
24,train_24,535738.0,1743610.0,0.0,2690400.0,23,9,0.06818181818181818,1,15,1.9130434782608696,6,3,A373000,17,22,욕실용품,10,공산품,0.25,0.0,0.29545454545454547,7241748,44,195722.9189189189,600000,-2272000,7,172168.6790870412,-0.6792356288924347,0.9381716694553002,5308,982000
25,train_25,0.0,106378.0,4159068.0,0.0,27,11,0.28888888888888886,2,12,1.6666666666666667,11,2,A202000,21,22,수입종합화장품,13,잡화,0.022222222222222223,0.2222222222222222,0.28888888888888886,4283446,45,97351.04545454546,1155000,-18000,1,189821.0547146302,4.6770842686401135,24.237295887227983,6670,1155000
26,train_26,67200.0,0.0,0.0,114000.0,3,88,0.25,3,14,1.3333333333333333,3,2,A112000,4,4,모자,4,남성의류,0.0,0.25,0.0,181200,4,45300.0,79000,0,0,22815.49181294733,1.81643386145009,3.444551983212232,5216,79000
27,train_27,0.0,148000.0,26000.0,2740198.0,11,21,0.2857142857142857,4,16,1.9090909090909092,6,3,A373000,12,11,캐릭터,7,여성캐주얼,0.19047619047619047,0.047619047619047616,0.19047619047619047,4806198,21,267011.0,1000000,-1892000,3,286417.8331395462,-0.27541455807450804,0.7045285611300058,6445,1000000
